,id,label,pred,Type1,Type2,Type3,Type 4 (Typical error),Generat Error
0,sign0006.png,crosswalk,trafficlight,,,1,,
1,sign0020.png,crosswalk,trafficlight,,,,1,
2,sign0095.png,crosswalk,stop,,,1,,
3,sign0098.png,crosswalk,trafficlight,,,,1,
4,sign0102.png,crosswalk,trafficlight,,,,1,
5,sign0120.png,crosswalk,trafficlight,,,,1,
6,sign0137.png,crosswalk,trafficlight,,1,,,
7,sign0215.png,crosswalk,stop,,1,,,
8,sign0245.png,crosswalk,speedlimit,,,,1,
9,sign0252.png,crosswalk,speedlimit,,,,1,
10,sign0284.png,crosswalk,stop,,1,,,
11,sign0350.png,crosswalk,speedlimit,,1,,,
12,sign0373.png,crosswalk,speedlimit,,1,,,
13,sign0380.png,crosswalk,speedlimit,1,,,,
14,sign0408.png,crosswalk,stop,,,1,,
15,sign0491.png,crosswalk,stop,,,,1,
16,sign0502.png,crosswalk,stop,,,1,,
17,sign0506.png,crosswalk,stop,,1,,,
18,sign0558.png,crosswalk,stop,,1,,,
19,sign0655.png,crosswalk,trafficlight,,,1,,
20,sign0666.png,crosswalk,trafficlight,,,1,,
21,sign0668.png,crosswalk,trafficlight,,1,,,
22,sign0670.png,crosswalk,trafficlight,,,,1,
23,sign0684.png,crosswalk,trafficlight,,,,1,
24,sign0721.png,crosswalk,trafficlight,,,,1,
25,sign0726.png,crosswalk,trafficlight,,,,1,
26,sign0793.png,crosswalk,trafficlight,,,1,,
27,sign0826.png,crosswalk,street sign,,,1,,
28,sign0884.png,crosswalk,trafficlight,,,1,,
29,sign0917.png,crosswalk,stop,,,1,,
30,sign0953.png,crosswalk,fifthave,,,1,,
31,sign0972.png,crosswalk,stop,1,,,,
32,sign1115.png,crosswalk,trafficlight,,,1,,
33,sign1140.png,crosswalk,trafficlight,,,1,,
34,sign1196.png,crosswalk,stop,1,,,,
35,sign1228.png,crosswalk,streetsign,,,1,,
36,sign1256.png,crosswalk,stop,,,1,,
37,sign1283.png,crosswalk,trafficlight,,,1,,
38,sign1395.png,crosswalk,trafficlight,1,,,,
39,sign1426.png,crosswalk,trafficlight,,,,1,
40,sign1457.png,crosswalk,pedestriancrossing,,,,,1
41,sign1496.png,crosswalk,streetsign,,,,1,
42,sign1654.png,crosswalk,keepright,,,1,,
43,sign1656.png,crosswalk,stop,,,1,,
44,sign1666.png,crosswalk,streetsign,1,,,,
45,sign1710.png,crosswalk,oneway,1,,,,
46,sign1735.png,crosswalk,stop,,1,,,
47,sign1765.png,crosswalk,trafficlight,1,,,,
48,sign1906.png,crosswalk,trafficlight,,,1,,
49,sign1956.png,crosswalk,stop,,,1,,
50,sign1969.png,crosswalk,speedlimit,,,,1,
51,sign1971.png,crosswalk,trafficlight,,,1,,
52,sign2085.png,crosswalk,schoolcrossing,,,,,1
53,sign2123.png,crosswalk,oneway,1,,,,
54,sign2149.png,crosswalk,trafficlight,,1,,,
55,sign2158.png,crosswalk,stop,,1,,,
56,sign2168.png,crosswalk,trafficlight,1,,,,
57,sign2181.png,crosswalk,pedxing,,,,,1
58,sign2316.png,crosswalk,pedxing,,,,,1
59,sign2342.png,crosswalk,don'tcross,,,,,1
60,sign2438.png,speedlimit,trafficlight,,,,1,
61,sign2534.png,speedlimit,slowdown,,,,,1
62,sign2581.png,speedlimit,trafficlight,1,,,,
63,sign2719.png,speedlimit,trafficlight,,,1,,
64,sign3019.png,speedlimit,trafficlight,,,,1,
65,sign3198.png,speedlimit,variablespeedlimit,,,,,1
66,sign3232.png,speedlimit,trafficlight,,1,,,
67,sign3268.png,speedlimit,trafficlight,,1,,,
68,sign3399.png,speedlimit,stop,,1,,,
69,sign3469.png,speedlimit,trafficlight,1,,,,
70,sign3506.png,speedlimit,slow,,,,,1
71,sign3866.png,speedlimit,trafficlight,,,1,,
72,sign4323.png,speedlimit,stop,1,,,,
73,sign4410.png,speedlimit,trafficlight,,,1,,
74,sign4565.png,stop,trafficlight,,,1,,
75,sign4596.png,stop,trafficlight,,,1,,
76,sign4654.png,stop,crosswalk,,,1,,
77,sign4761.png,stop,trafficlight,,,,1,
78,sign4819.png,stop,accidentlocation,,,1,,
79,sign4891.png,stop,trafficlight,,,1,,
80,sign4953.png,stop,trafficlight,,1,,,
81,sign5064.png,stop,trafficlight,,1,,,
82,sign5513.png,stop,noparking,,,1,,
83,sign5563.png,stop,safetysigns,,1,,,
84,sign5581.png,stop,trafficlight,,,1,,
85,sign5596.png,stop,streetsign,,,1,,
86,sign5669.png,stop,crosswalk,,1,,,
87,sign6222.png,stop,trafficlight,,,,1,
88,sign6484.png,stop,speedlimit,,1,,,
89,sign6501.png,stop,trafficlight,,,1,,
90,sign7096.png,trafficlight,speedlimit,1,,,,
91,sign7163.png,trafficlight,walmart,,,1,,
92,sign7250.png,trafficlight,speedlimit,,,1,,
93,sign8140.png,trafficlight,crosswalk,,1,,,
94,sign8165.png,trafficlight,stop,,,1,,
95,sign8557.png,trafficlight,roundabout,,,1,,
96,sign8715.png,trafficlight,speedlimit,,,1,,
97,sign8934.png,trafficlight,speedlimit,,,1,,
98,sign9076.png,trafficlight,stop,,,1,,
99,sign9109.png,trafficlight,crosswalk,,1,,,
,,,,13,21,40,18,8